"categoria","N","prop","dep_adm1","prov_adm2","dist_adm3"
"De 0  a 4 ",2633,0.0807941329896591,"amazonas","chachapoyas","chachapoyas"
"De 5  a 9 ",2613,0.0801804289791034,"amazonas","chachapoyas","chachapoyas"
"De 10 a 14 ",2787,0.085519653870938,"amazonas","chachapoyas","chachapoyas"
"De 15 a 19 ",3066,0.0940808248181902,"amazonas","chachapoyas","chachapoyas"
"De 20 a 24 ",3354,0.102918162570192,"amazonas","chachapoyas","chachapoyas"
"De 25 a 29 ",2952,0.0905827119580226,"amazonas","chachapoyas","chachapoyas"
"De 30 a 34 ",2682,0.0822977078155206,"amazonas","chachapoyas","chachapoyas"
"De 35 a 39 ",2265,0.069501979195434,"amazonas","chachapoyas","chachapoyas"
"De 40 a 44 ",2043,0.0626898646782657,"amazonas","chachapoyas","chachapoyas"
"De 45 a 49 ",1840,0.0564607689711252,"amazonas","chachapoyas","chachapoyas"
"De 50 a 54 ",1598,0.0490349504434012,"amazonas","chachapoyas","chachapoyas"
"De 55 a 59 ",1195,0.0366688146307036,"amazonas","chachapoyas","chachapoyas"
"De 60 a 64 ",917,0.0281383288839793,"amazonas","chachapoyas","chachapoyas"
"De 65 a 69 ",826,0.0253459756359508,"amazonas","chachapoyas","chachapoyas"
"De 70 a 74 ",678,0.0208045659578385,"amazonas","chachapoyas","chachapoyas"
"De 75 a 79 ",527,0.0161711006781429,"amazonas","chachapoyas","chachapoyas"
"De 80 a 84 ",347,0.0106477645831416,"amazonas","chachapoyas","chachapoyas"
"De 85 a 89 ",175,0.00536991009236245,"amazonas","chachapoyas","chachapoyas"
"De 90 a 94 ",65,0.00199453803430605,"amazonas","chachapoyas","chachapoyas"
"De 95 a más",26,0.000797815213722422,"amazonas","chachapoyas","chachapoyas"
"De 0  a 4 ",22,0.083969465648855,"amazonas","chachapoyas","asuncion"
"De 5  a 9 ",16,0.0610687022900763,"amazonas","chachapoyas","asuncion"
"De 10 a 14 ",25,0.0954198473282443,"amazonas","chachapoyas","asuncion"
"De 15 a 19 ",13,0.049618320610687,"amazonas","chachapoyas","asuncion"
"De 20 a 24 ",13,0.049618320610687,"amazonas","chachapoyas","asuncion"
"De 25 a 29 ",12,0.0458015267175573,"amazonas","chachapoyas","asuncion"
"De 30 a 34 ",12,0.0458015267175573,"amazonas","chachapoyas","asuncion"
"De 35 a 39 ",36,0.137404580152672,"amazonas","chachapoyas","asuncion"
"De 40 a 44 ",22,0.083969465648855,"amazonas","chachapoyas","asuncion"
"De 45 a 49 ",19,0.0725190839694656,"amazonas","chachapoyas","asuncion"
"De 50 a 54 ",9,0.0343511450381679,"amazonas","chachapoyas","asuncion"
"De 55 a 59 ",7,0.0267175572519084,"amazonas","chachapoyas","asuncion"
"De 60 a 64 ",9,0.0343511450381679,"amazonas","chachapoyas","asuncion"
"De 65 a 69 ",10,0.0381679389312977,"amazonas","chachapoyas","asuncion"
"De 70 a 74 ",16,0.0610687022900763,"amazonas","chachapoyas","asuncion"
"De 75 a 79 ",11,0.0419847328244275,"amazonas","chachapoyas","asuncion"
"De 80 a 84 ",6,0.0229007633587786,"amazonas","chachapoyas","asuncion"
"De 85 a 89 ",3,0.0114503816793893,"amazonas","chachapoyas","asuncion"
"De 95 a más",1,0.00381679389312977,"amazonas","chachapoyas","asuncion"
"De 0  a 4 ",111,0.0977112676056338,"amazonas","chachapoyas","balsas"
"De 5  a 9 ",125,0.110035211267606,"amazonas","chachapoyas","balsas"
"De 10 a 14 ",119,0.104753521126761,"amazonas","chachapoyas","balsas"
"De 15 a 19 ",87,0.0765845070422535,"amazonas","chachapoyas","balsas"
"De 20 a 24 ",62,0.0545774647887324,"amazonas","chachapoyas","balsas"
"De 25 a 29 ",84,0.073943661971831,"amazonas","chachapoyas","balsas"
"De 30 a 34 ",71,0.0625,"amazonas","chachapoyas","balsas"
"De 35 a 39 ",73,0.0642605633802817,"amazonas","chachapoyas","balsas"
"De 40 a 44 ",60,0.0528169014084507,"amazonas","chachapoyas","balsas"
